City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Quatre Cocos,MU,2020-07-11 03:32:59,-20.21,57.76,70.0,88,75,18.34
181,Loukhi,RU,2020-07-11 03:32:59,66.08,33.04,54.03,75,99,11.14
182,Sebezh,RU,2020-07-11 03:32:59,56.3,28.47,63.9,96,100,11.92
183,Barda,AZ,2020-07-11 03:33:00,40.37,47.13,75.2,83,90,2.24
184,Alenquer,BR,2020-07-11 03:33:00,-1.94,-54.74,75.2,100,40,2.24
185,Kloulklubed,PW,2020-07-11 03:33:00,7.04,134.26,86.0,66,75,5.82
186,Paulo Afonso,BR,2020-07-11 03:33:00,-9.41,-38.21,65.98,95,24,6.85
187,Shubarshi,KZ,2020-07-11 03:33:00,48.59,57.19,90.0,31,0,6.87
188,Ilulissat,GL,2020-07-11 03:33:00,69.22,-51.1,42.8,81,98,5.82
189,Talnakh,RU,2020-07-11 03:33:00,69.49,88.4,60.8,67,24,20.13
190,Gamba,GA,2020-07-11 03:33:01,-2.65,10.0,71.94,90,98,6.33
191,Ahmadpur Sial,PK,2020-07-11 03:33:01,30.68,71.75,93.2,63,0,18.34
192,Guerrero Negro,MX,2020-07-11 03:33:01,27.98,-114.06,72.59,61,29,12.28
193,Pisco,PE,2020-07-11 03:31:17,-13.7,-76.22,55.99,87,0,4.7
194,Beira,MZ,2020-07-11 03:33:01,-19.84,34.84,66.0,100,20,6.93
195,Flinders,AU,2020-07-11 03:33:01,-34.58,150.86,60.8,67,90,4.7
196,North Platte,US,2020-07-11 03:29:31,41.12,-100.77,77.0,69,1,12.75
197,Prykolotne,UA,2020-07-11 03:33:02,50.16,37.35,62.69,73,0,5.08
198,Shahe,CN,2020-07-11 03:33:02,39.27,113.55,76.14,58,99,3.78
199,Rabo De Peixe,PT,2020-07-11 03:33:02,37.8,-25.58,62.6,88,20,3.36
200,Kavieng,PG,2020-07-11 03:33:02,-2.57,150.8,85.64,69,33,10.78
201,Victoria,HK,2020-07-11 03:29:54,22.29,114.16,89.01,66,82,15.01
202,Norman Wells,CA,2020-07-11 03:33:02,65.28,-126.83,53.6,71,75,10.29
203,Yerofey Pavlovich,RU,2020-07-11 03:33:02,53.97,121.97,90.41,30,58,7.0
204,Paredon,MX,2020-07-11 03:33:02,16.03,-93.87,78.17,86,100,14.29
205,San Cristobal,VE,2020-07-11 03:32:30,7.77,-72.22,64.26,90,58,2.95
206,New Plymouth,NZ,2020-07-11 03:33:03,-39.07,174.08,52.0,80,63,8.99
207,Glenwood Springs,US,2020-07-11 03:33:03,39.55,-107.32,80.6,11,1,8.05
208,Shushtar,IR,2020-07-11 03:33:03,32.05,48.86,103.71,14,3,5.57
209,Iquique,CL,2020-07-11 03:33:03,-20.22,-70.14,60.8,72,90,4.7
210,Gornozavodsk,RU,2020-07-11 03:33:03,58.38,58.32,70.16,77,65,7.31
211,Jinxiang,CN,2020-07-11 03:33:04,22.86,115.7,88.14,71,51,14.07
212,San Patricio,MX,2020-07-11 03:33:04,19.22,-104.7,79.86,86,13,6.26
213,Ibra,OM,2020-07-11 03:33:04,22.69,58.53,89.35,44,98,1.95
214,Khasan,RU,2020-07-11 03:33:04,42.43,130.64,65.28,87,100,6.15
215,Aripuana,BR,2020-07-11 03:33:04,-9.17,-60.63,72.59,56,0,1.14
216,Arraial Do Cabo,BR,2020-07-11 03:33:04,-22.97,-42.03,69.73,76,45,18.05
