City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
143,Dawlatabad,AF,36.41,64.91,74.08,36,14,2.62,few clouds,0.0,0.0
144,Sakakah,SA,29.97,40.21,79.95,28,0,9.69,clear sky,0.0,0.0
145,Chokurdakh,RU,70.63,147.92,72.19,43,37,9.31,scattered clouds,0.0,0.0
146,Flinders,AU,-34.58,150.86,57.99,77,0,8.99,clear sky,0.0,0.0
147,Broome,US,42.25,-75.83,71.01,88,90,11.41,light rain,0.0,0.0
148,Salinopolis,BR,-0.61,-47.36,79.57,84,75,11.54,broken clouds,0.0,0.0
149,Hermanus,ZA,-34.42,19.23,55.0,87,100,8.01,light rain,0.0,0.0
150,Lensk,RU,60.73,114.93,66.97,72,100,3.49,overcast clouds,0.0,0.0
151,Half Moon Bay,US,37.46,-122.43,73.99,72,1,10.29,haze,0.0,0.0
152,Manggar,ID,-2.88,108.27,81.18,83,100,14.5,light rain,0.0,0.0
153,Gat,IL,31.61,34.76,73.99,83,16,4.43,few clouds,0.0,0.0
154,Najran,SA,17.49,44.13,80.1,33,43,6.96,scattered clouds,0.0,0.0
155,Xichang,CN,27.9,102.26,69.39,75,98,1.95,overcast clouds,0.0,0.0
156,Stanger,ZA,-29.33,31.29,51.8,81,0,9.17,clear sky,0.0,0.0
157,Nador,MA,35.17,-2.93,75.2,94,90,3.36,overcast clouds,0.0,0.0
158,Laguna De Perlas,NI,12.34,-83.67,78.6,87,100,10.09,moderate rain,0.0,0.0
159,Kloulklubed,PW,7.04,134.26,77.0,94,90,5.82,light intensity shower rain,0.0,0.0
160,Nouadhibou,MR,20.93,-17.03,73.4,78,0,8.05,moderate rain,0.0,0.0
161,Margate,GB,51.38,1.39,61.0,47,1,3.13,clear sky,0.0,0.0
162,Isangel,VU,-19.55,169.27,78.8,65,75,11.41,broken clouds,0.0,0.0
163,Boa Vista,BR,2.82,-60.67,77.0,88,75,2.24,broken clouds,0.0,0.0
164,Dongsheng,CN,39.82,109.98,64.89,72,1,1.86,clear sky,0.0,0.0
165,Klaksvik,FO,62.23,-6.59,50.0,87,100,17.22,light rain,0.0,0.0
166,Tutoia,BR,-2.76,-42.27,78.6,81,16,7.83,light rain,0.0,0.0
167,High Level,CA,58.52,-117.14,68.0,52,90,6.93,overcast clouds,0.0,0.0
168,Ballina,AU,-28.87,153.57,63.0,63,100,10.29,overcast clouds,0.0,0.0
169,Vanimo,PG,-2.67,141.3,83.41,72,91,1.9,light rain,0.0,0.0
170,Maceio,BR,-9.67,-35.74,73.4,88,75,1.12,broken clouds,0.0,0.0
171,Epitalion,GR,37.63,21.5,73.4,78,0,2.37,clear sky,0.0,0.0
172,Ilhabela,BR,-23.78,-45.36,74.7,61,0,5.84,clear sky,0.0,0.0
173,Bahia Blanca,AR,-38.72,-62.27,41.13,62,72,9.82,broken clouds,0.0,0.0
174,Chuy,UY,-33.7,-53.46,44.02,70,100,8.97,overcast clouds,0.0,0.0
175,Tazovskiy,RU,67.47,78.7,51.57,82,100,9.46,light rain,0.0,0.0
176,Khasan,RU,42.43,130.64,66.49,82,100,8.1,overcast clouds,0.0,0.0
177,Puerto Escondido,MX,15.85,-97.07,84.2,66,90,5.82,overcast clouds,0.0,0.0
178,Upernavik,GL,72.79,-56.15,41.68,88,93,9.46,overcast clouds,0.0,0.0
179,Caravelas,BR,-17.71,-39.25,70.18,88,80,3.38,broken clouds,0.0,0.0
180,Kiama,AU,-34.68,150.87,57.99,75,0,1.99,clear sky,0.0,0.0
181,Santander,ES,43.46,-3.8,66.99,88,0,5.82,clear sky,0.0,0.0
182,Birao,CF,10.28,22.79,72.41,92,100,6.98,moderate rain,0.0,0.0
183,Ostrogozhsk,RU,50.87,39.08,66.6,82,100,7.18,overcast clouds,0.0,0.0
184,Deputatskiy,RU,69.3,139.9,71.13,44,28,8.81,scattered clouds,0.0,0.0
185,Glasgow,GB,55.87,-4.26,59.0,93,90,9.17,light intensity drizzle,0.0,0.0
186,Mongoumba,CF,3.64,18.59,70.88,96,100,1.61,light rain,0.0,0.0
187,Guerrero Negro,MX,27.98,-114.06,78.06,49,0,20.07,clear sky,0.0,0.0
188,Tigil,RU,57.8,158.67,67.8,68,51,6.64,broken clouds,0.0,0.0
189,Garden City,US,42.33,-83.33,82.4,44,40,6.93,scattered clouds,0.0,0.0
190,Westport,US,41.14,-73.36,82.99,61,1,8.05,clear sky,0.0,0.0
191,Humaita,BR,-7.51,-63.02,79.74,68,99,2.51,overcast clouds,0.0,0.0
192,Zhuhai,CN,22.28,113.57,91.0,84,20,8.05,few clouds,0.0,0.0
193,Calvinia,ZA,-31.47,19.78,40.96,76,12,14.65,few clouds,0.0,0.0
194,Kudahuvadhoo,MV,2.67,72.89,84.11,70,21,7.34,few clouds,0.0,0.0
195,Palmer,US,42.16,-72.33,79.0,87,36,3.22,scattered clouds,0.0,0.0
196,Pontianak,ID,-0.03,109.33,78.93,87,77,3.18,broken clouds,0.0,0.0
197,Fare,PF,-16.7,-151.02,79.48,77,100,16.13,light rain,0.0,0.0
198,College,US,64.86,-147.8,71.6,30,75,6.93,broken clouds,0.0,0.0
199,Lavrentiya,RU,65.58,-171.0,46.13,75,4,7.11,clear sky,0.0,0.0
200,Fukue,JP,32.69,128.84,78.8,94,75,13.87,broken clouds,0.0,0.0
201,Nishihara,JP,26.18,127.76,87.8,74,75,10.29,broken clouds,0.0,0.0
202,Kaspiysk,RU,42.88,47.64,73.4,64,0,2.24,clear sky,0.0,0.0
203,Luderitz,NA,-26.65,15.16,51.8,87,0,5.82,clear sky,0.0,0.0
204,Poykovskiy,RU,61.23,73.33,64.4,63,100,8.95,overcast clouds,0.0,0.0
205,Hamilton,US,39.18,-84.53,75.99,69,1,5.82,clear sky,0.0,0.0
206,Jackson,US,42.42,-122.83,86.0,30,1,12.75,clear sky,0.0,0.0
207,Saint George,US,37.1,-113.58,108.0,12,1,16.11,clear sky,0.0,0.0
208,Biak,ID,-0.91,122.88,80.49,75,78,7.47,broken clouds,0.0,0.0
209,Lagoa,PT,39.05,-27.98,68.52,81,0,14.0,clear sky,0.0,0.0
210,Havelock,US,34.88,-76.9,84.2,74,75,10.29,broken clouds,0.0,0.0
